21
# x y z
-15	0	0
-13.5	0	0
-12	0	0
-10.5	0	0
-9	0	0
-7.5	0	0
-6	0	0
-4.5	0	0
-3	0	0
-1.5	0	0
0	0	0
1.5	0	0
3	0	0
4.5	0	0
6	0	0
7.5	0	0
9	0	0
10.5	0	0
12	0	0
13.5	0	0
15	0	0
90
# a b m n err i ip iperr k r rhoa u valid 
1	4	2	3	1.00000941434794e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	9.42477796076938e+00	0.00000000000000e+00	9.94068155293987e+01	0.00000000000000e+00	1
2	5	3	4	1.00000939307150e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	9.42477796076938e+00	0.00000000000000e+00	9.98456095967962e+01	0.00000000000000e+00	1
3	6	4	5	1.00000935153146e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	9.42477796076938e+00	0.00000000000000e+00	1.00458918703398e+02	0.00000000000000e+00	1
4	7	5	6	1.00000930097013e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	9.42477796076938e+00	0.00000000000000e+00	9.95526705058538e+01	0.00000000000000e+00	1
5	8	6	7	1.00000926064460e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	9.42477796076938e+00	0.00000000000000e+00	1.01982704363536e+02	0.00000000000000e+00	1
6	9	7	8	1.00000924515083e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	9.42477796076938e+00	0.00000000000000e+00	9.98925724032284e+01	0.00000000000000e+00	1
7	10	8	9	1.00000929082556e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	9.42477796076938e+00	0.00000000000000e+00	1.00876480516208e+02	0.00000000000000e+00	1
8	11	9	10	1.00000941737987e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	9.42477796076938e+00	0.00000000000000e+00	1.00416042938166e+02	0.00000000000000e+00	1
9	12	10	11	1.00000969760523e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	9.42477796076938e+00	0.00000000000000e+00	9.86919296513761e+01	0.00000000000000e+00	1
10	13	11	12	1.00001002612989e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	9.42477796076938e+00	0.00000000000000e+00	9.27136181819193e+01	0.00000000000000e+00	1
11	14	12	13	1.00001024619014e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	9.42477796076938e+00	0.00000000000000e+00	9.32942855566284e+01	0.00000000000000e+00	1
12	15	13	14	1.00001056102196e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	9.42477796076938e+00	0.00000000000000e+00	8.89917554276163e+01	0.00000000000000e+00	1
13	16	14	15	1.00001027021687e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	9.42477796076938e+00	0.00000000000000e+00	9.12544871249283e+01	0.00000000000000e+00	1
14	17	15	16	1.00000992524474e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	9.42477796076938e+00	0.00000000000000e+00	9.60842107041072e+01	0.00000000000000e+00	1
15	18	16	17	1.00000970483148e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	9.42477796076938e+00	0.00000000000000e+00	9.87638082340293e+01	0.00000000000000e+00	1
16	19	17	18	1.00000956050098e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	9.42477796076938e+00	0.00000000000000e+00	9.69131503731237e+01	0.00000000000000e+00	1
17	20	18	19	1.00000948824800e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	9.42477796076938e+00	0.00000000000000e+00	9.86362167217749e+01	0.00000000000000e+00	1
18	21	19	20	1.00000945492612e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	9.42477796076938e+00	0.00000000000000e+00	1.00262247605323e+02	0.00000000000000e+00	1
1	6	3	4	1.00002789592469e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.82743338823081e+01	0.00000000000000e+00	1.02348023405041e+02	0.00000000000000e+00	1
2	7	4	5	1.00002760331611e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.82743338823081e+01	0.00000000000000e+00	1.01183931736690e+02	0.00000000000000e+00	1
3	8	5	6	1.00002733885291e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.82743338823081e+01	0.00000000000000e+00	1.02046878076522e+02	0.00000000000000e+00	1
4	9	6	7	1.00002720386858e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.82743338823081e+01	0.00000000000000e+00	1.03933462501278e+02	0.00000000000000e+00	1
5	10	7	8	1.00002729894600e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.82743338823081e+01	0.00000000000000e+00	1.02211325104403e+02	0.00000000000000e+00	1
6	11	8	9	1.00002783414000e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.82743338823081e+01	0.00000000000000e+00	1.01195863061551e+02	0.00000000000000e+00	1
7	12	9	10	1.00002909681574e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.82743338823081e+01	0.00000000000000e+00	9.84027751608876e+01	0.00000000000000e+00	1
8	13	10	11	1.00003066066415e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.82743338823081e+01	0.00000000000000e+00	9.23282443870251e+01	0.00000000000000e+00	1
9	14	11	12	1.00003190939589e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.82743338823081e+01	0.00000000000000e+00	8.87392693465599e+01	0.00000000000000e+00	1
10	15	12	13	1.00003438241827e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.82743338823081e+01	0.00000000000000e+00	7.99702605900191e+01	0.00000000000000e+00	1
11	16	13	14	1.00003642394966e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.82743338823081e+01	0.00000000000000e+00	7.73486137928886e+01	0.00000000000000e+00	1
12	17	14	15	1.00003537336992e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.82743338823081e+01	0.00000000000000e+00	7.99372980029998e+01	0.00000000000000e+00	1
13	18	15	16	1.00003294909627e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.82743338823081e+01	0.00000000000000e+00	8.70807515960763e+01	0.00000000000000e+00	1
14	19	16	17	1.00003108388151e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.82743338823081e+01	0.00000000000000e+00	9.00903135407967e+01	0.00000000000000e+00	1
15	20	17	18	1.00002993402572e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.82743338823081e+01	0.00000000000000e+00	9.57108595753883e+01	0.00000000000000e+00	1
16	21	18	19	1.00002920519097e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.82743338823081e+01	0.00000000000000e+00	9.58582443544226e+01	0.00000000000000e+00	1
1	8	4	5	1.00005494058802e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	5.65486677646163e+01	0.00000000000000e+00	1.03412329177652e+02	0.00000000000000e+00	1
2	9	5	6	1.00005460103742e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	5.65486677646163e+01	0.00000000000000e+00	1.03557961754615e+02	0.00000000000000e+00	1
3	10	6	7	1.00005473695153e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	5.65486677646163e+01	0.00000000000000e+00	1.03689046819843e+02	0.00000000000000e+00	1
4	11	7	8	1.00005579037485e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	5.65486677646163e+01	0.00000000000000e+00	1.02493003527040e+02	0.00000000000000e+00	1
5	12	8	9	1.00005812743296e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	5.65486677646163e+01	0.00000000000000e+00	9.72757959795725e+01	0.00000000000000e+00	1
6	13	9	10	1.00006031364661e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	5.65486677646163e+01	0.00000000000000e+00	9.41948994848735e+01	0.00000000000000e+00	1
7	14	10	11	1.00006154624167e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	5.65486677646163e+01	0.00000000000000e+00	9.30407313175637e+01	0.00000000000000e+00	1
8	15	11	12	1.00006459200228e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	5.65486677646163e+01	0.00000000000000e+00	8.67580492278449e+01	0.00000000000000e+00	1
9	16	12	13	1.00007311588564e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	5.65486677646163e+01	0.00000000000000e+00	7.65453743770747e+01	0.00000000000000e+00	1
10	17	13	14	1.00007824694492e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	5.65486677646163e+01	0.00000000000000e+00	7.26812255599357e+01	0.00000000000000e+00	1
11	18	14	15	1.00007523102164e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	5.65486677646163e+01	0.00000000000000e+00	7.56490430506042e+01	0.00000000000000e+00	1
12	19	15	16	1.00006974215635e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	5.65486677646163e+01	0.00000000000000e+00	8.12931534688346e+01	0.00000000000000e+00	1
13	20	16	17	1.00006514400203e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	5.65486677646163e+01	0.00000000000000e+00	8.78414532004191e+01	0.00000000000000e+00	1
14	21	17	18	1.00006244734413e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	5.65486677646163e+01	0.00000000000000e+00	8.96066320783416e+01	0.00000000000000e+00	1
1	10	5	6	1.00009312262018e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	9.42477796076938e+01	0.00000000000000e+00	1.01349848084885e+02	0.00000000000000e+00	1
2	11	6	7	1.00009447092374e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	9.42477796076938e+01	0.00000000000000e+00	9.80370648908733e+01	0.00000000000000e+00	1
3	12	7	8	1.00009757419489e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	9.42477796076938e+01	0.00000000000000e+00	9.64647039241763e+01	0.00000000000000e+00	1
4	13	8	9	1.00009968888576e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	9.42477796076938e+01	0.00000000000000e+00	9.33030445826906e+01	0.00000000000000e+00	1
5	14	9	10	1.00009973527613e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	9.42477796076938e+01	0.00000000000000e+00	9.24458880938576e+01	0.00000000000000e+00	1
6	15	10	11	1.00010055276298e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	9.42477796076938e+01	0.00000000000000e+00	9.27302477883743e+01	0.00000000000000e+00	1
7	16	11	12	1.00010683640248e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	9.42477796076938e+01	0.00000000000000e+00	8.81876586775908e+01	0.00000000000000e+00	1
8	17	12	13	1.00012520756147e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	9.42477796076938e+01	0.00000000000000e+00	7.63771747969785e+01	0.00000000000000e+00	1
9	18	13	14	1.00013480410321e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	9.42477796076938e+01	0.00000000000000e+00	7.05276066350261e+01	0.00000000000000e+00	1
10	19	14	15	1.00012764816190e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	9.42477796076938e+01	0.00000000000000e+00	7.43287714450448e+01	0.00000000000000e+00	1
11	20	15	16	1.00011598849350e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	9.42477796076938e+01	0.00000000000000e+00	8.18229323144253e+01	0.00000000000000e+00	1
12	21	16	17	1.00010768356304e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	9.42477796076938e+01	0.00000000000000e+00	8.73016332664998e+01	0.00000000000000e+00	1
1	12	6	7	1.00014857359168e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.41371669411541e+02	0.00000000000000e+00	9.56931578218813e+01	0.00000000000000e+00	1
2	13	7	8	1.00014901891318e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.41371669411541e+02	0.00000000000000e+00	9.51570835562394e+01	0.00000000000000e+00	1
3	14	8	9	1.00014674144023e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.41371669411541e+02	0.00000000000000e+00	9.53770817541933e+01	0.00000000000000e+00	1
4	15	9	10	1.00014547332103e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.41371669411541e+02	0.00000000000000e+00	9.47929725944136e+01	0.00000000000000e+00	1
5	16	10	11	1.00014762598643e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.41371669411541e+02	0.00000000000000e+00	9.60050572048406e+01	0.00000000000000e+00	1
6	17	11	12	1.00015996093977e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.41371669411541e+02	0.00000000000000e+00	8.90534140863183e+01	0.00000000000000e+00	1
7	18	12	13	1.00019245971919e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.41371669411541e+02	0.00000000000000e+00	7.22918452180116e+01	0.00000000000000e+00	1
8	19	13	14	1.00020708478888e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.41371669411541e+02	0.00000000000000e+00	6.84027561061762e+01	0.00000000000000e+00	1
9	20	14	15	1.00019301476991e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.41371669411541e+02	0.00000000000000e+00	7.33064185938960e+01	0.00000000000000e+00	1
10	21	15	16	1.00017187153421e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.41371669411541e+02	0.00000000000000e+00	8.27812017808495e+01	0.00000000000000e+00	1
